product_id,product_name,product_category,manufacturing_city,size,color,SKU,unit_cost,release_year
64759,Trail Running Shoes,Footwear,Portland,One Size,Blue,13356886,90.28,2023
22456,City Backpack,Bags,Shenzhen,S,Red,23756669,82.82,2022
63401,Stainless Water Bottle,Accessories,Austin,XL,Orange,14265799,8.43,2023
72903,Yoga Mat Pro,Fitness,Denver,S,Black,85329037,27.87,2025
76338,Wireless Earbuds,Electronics,San Diego,S,Yellow,89089901,36.99,2022
11966,Smart Fitness Watch,Electronics,Seattle,S,Orange,55667651,36.96,2023
70433,Camping Lantern,Outdoor,Chicago,M,Blue,22448136,48.69,2024
18341,Hiking Socks,Apparel,Los Angeles,M,Gray,15831819,88.92,2022
50681,Thermal Jacket,Apparel,Boston,L,Blue,84093639,38.72,2024
16606,Portable Power Bank,Electronics,Dallas,XL,Green,19335534,10.27,2023
33822,Bluetooth Speaker,Electronics,Phoenix,M,Blue,41244663,104.65,2025
54743,Laptop Sleeve,Accessories,San Jose,M,Yellow,95320121,100.92,2023
84337,Travel Duffel Bag,Bags,Atlanta,M,White,38119557,82.07,2022
82564,Cycling Gloves,Apparel,Miami,XL,Red,81691040,88.85,2023
71567,Insulated Coffee Mug,Accessories,Nashville,L,Orange,46231783,118.8,2023
97173,Compact Tripod,Electronics,Columbus,One Size,White,17507864,31.34,2022
39660,Running Cap,Apparel,Detroit,M,Orange,45935572,12.61,2024
30475,LED Headlamp,Outdoor,Salt Lake City,S,Yellow,63100814,106.74,2025
57942,Foldable Chair,Outdoor,Tampa,S,Gray,28740864,33.36,2024
96434,Dry Bag,Outdoor,Raleigh,One Size,Orange,88320463,50.93,2023
