order_id,product_id,customer_id,price,quantity,discount,order_date,shipping_date,shipping_method,order_status
629908599,54743,16175,216.66,2,0.15,2023-05-22,2023-05-27,Express,Returned
168212356,71567,60019,153.01,4,0.1,2024-03-08,2024-03-13,Two-Day,Processing
873869166,54743,99353,222.35,3,0.15,2023-01-12,2023-01-18,Two-Day,Delivered
269820594,84337,10425,238.92,3,0.1,2023-10-28,2023-11-01,Express,Processing
771410971,63401,93748,131.84,2,0.0,2023-04-19,2023-04-26,Two-Day,Delivered
669462919,16606,10074,153.75,4,0.0,2024-07-06,2024-07-13,Standard,Delivered
162196678,72903,84364,237.27,1,0.15,2023-11-11,2023-11-13,Overnight,Delivered
235034324,82564,96474,124.07,5,0.0,2024-06-29,2024-07-06,Two-Day,Processing
327416584,16606,80686,191.26,2,0.15,2024-09-13,2024-09-17,Two-Day,Shipped
500957212,84337,77839,118.36,2,0.0,2024-11-18,2024-11-24,Standard,Delivered
694768704,72903,87128,62.85,1,0.15,2023-01-22,2023-01-27,Standard,Delivered
454794895,54743,77391,67.12,4,0.0,2023-03-11,2023-03-12,Express,Returned
607526654,72903,71993,203.8,2,0.0,2024-08-07,2024-08-12,Standard,Returned
554814084,71567,71213,217.32,1,0.15,2024-03-17,2024-03-20,Standard,Delivered
464323393,50681,24322,69.68,2,0.1,2024-02-17,2024-02-23,Overnight,Delivered
399085574,84337,42742,219.88,1,0.05,2024-03-08,2024-03-10,Standard,Delivered
997677788,70433,22224,232.33,2,0.0,2024-10-29,2024-11-03,Overnight,Shipped
530613729,16606,17685,49.51,1,0.05,2024-05-07,2024-05-09,Two-Day,Shipped
847959430,22456,82845,168.85,4,0.0,2023-10-20,2023-10-24,Express,Delivered
721890096,22456,81066,24.63,3,0.0,2023-08-11,2023-08-12,Standard,Processing
670292350,82564,17455,240.59,1,0.0,2024-05-03,2024-05-08,Standard,Processing
352548261,71567,25713,235.98,5,0.0,2023-03-11,2023-03-17,Standard,Processing
805849060,76338,84085,135.47,3,0.0,2023-03-25,2023-03-29,Two-Day,Delivered
240529481,33822,94607,82.0,3,0.0,2023-09-29,2023-10-03,Standard,Shipped
207354053,54743,80468,61.16,3,0.0,2024-09-28,2024-10-03,Two-Day,Delivered
406002884,82564,67433,210.1,3,0.1,2023-09-08,2023-09-11,Standard,Returned
812308209,54743,27601,73.47,1,0.15,2024-07-21,2024-07-24,Express,Delivered
326161867,22456,54942,58.86,3,0.1,2023-10-16,2023-10-21,Overnight,Delivered
781057736,71567,46265,20.58,3,0.0,2023-02-22,2023-02-23,Two-Day,Delivered
857704655,71567,83519,12.32,1,0.15,2024-03-28,2024-04-02,Express,Processing
496442646,76338,82420,45.54,2,0.0,2023-02-06,2023-02-13,Two-Day,Delivered
325567963,33822,42706,170.06,3,0.1,2023-02-10,2023-02-13,Overnight,Processing
274484941,50681,33206,221.54,1,0.0,2023-06-08,2023-06-10,Two-Day,Shipped
889262019,50681,42527,74.03,1,0.05,2024-11-16,2024-11-23,Standard,Shipped
976803188,16606,70332,93.92,2,0.0,2023-08-16,2023-08-18,Standard,Returned
452468587,63401,19099,242.05,3,0.0,2023-07-17,2023-07-21,Overnight,Returned
129635852,54743,44237,52.86,3,0.0,2024-07-03,2024-07-06,Standard,Processing
882269302,50681,51114,114.73,5,0.0,2024-03-20,2024-03-23,Overnight,Processing
147659674,22456,67154,10.41,5,0.15,2023-07-14,2023-07-17,Express,Delivered
813219781,16606,53279,159.56,1,0.15,2024-03-17,2024-03-18,Two-Day,Processing
538508549,30475,62743,177.33,5,0.0,2023-11-13,2023-11-19,Express,Shipped
827264603,22456,32810,157.72,3,0.05,2024-11-11,2024-11-15,Standard,Delivered
561588882,50681,86019,155.6,3,0.05,2023-10-21,2023-10-23,Overnight,Shipped
648868899,84337,32241,168.12,3,0.1,2024-11-22,2024-11-24,Two-Day,Delivered
433310361,72903,36100,45.36,1,0.0,2023-08-29,2023-09-04,Overnight,Processing
545002643,16606,92544,148.16,4,0.05,2023-03-16,2023-03-20,Overnight,Delivered
838328947,70433,23970,196.82,2,0.0,2023-06-01,2023-06-07,Overnight,Delivered
230307805,84337,27477,202.34,5,0.1,2024-07-24,2024-07-26,Two-Day,Shipped
872314530,16606,76162,112.42,5,0.05,2024-09-19,2024-09-26,Express,Returned
378304807,50681,42406,211.57,3,0.1,2024-05-01,2024-05-05,Overnight,Returned
572309605,54743,47450,66.28,3,0.0,2023-09-02,2023-09-05,Standard,Delivered
511281012,22456,30028,179.54,1,0.05,2023-06-04,2023-06-06,Overnight,Delivered
546434187,70433,37110,209.89,4,0.1,2024-07-09,2024-07-13,Standard,Processing
106330865,30475,49139,190.83,4,0.1,2024-01-25,2024-01-29,Express,Shipped
567975319,84337,13804,103.33,4,0.15,2023-08-13,2023-08-16,Express,Shipped
